district,year,total_exp_lakh,total_wages_lakh,person_days,avg_wage_daily,avg_days_per_hh,total_hh_worked,total_individuals,hh_100days,active_jobcards,total_jobcards,sc_persondays,st_persondays,women_persondays,works_completed,works_ongoing,pct_agri_works,pct_nrm_works,pct_timely_payment,labour_budget,log_wage,log_exp_lakh,log_person_days,exp_per_hh,log_exp_per_hh,sc_share,st_share,women_share,budget_utilisation,high_spend,time,district_id
jalpaiguri,2023,3244.7484,0.0,0,,0.0,0,0,0,345581,404315,0,0,0,86,31786,19.699166666666667,0.10666666666666667,0.0,0,,8.085101234287919,0.0,,,0.0,0.0,0.0,,0,5,11
jalpaiguri,2024,20966.96704,0.0,0,,0.0,0,0,0,300581,404321,0,0,0,0,31776,0.0,0.0,0.0,0,,9.950751173082892,0.0,,,0.0,0.0,0.0,,0,6,11
jhargram,2018,90698.66877667236,41123.7883057,5100541,167.28491903748167,30.583333333333332,108560,169411,7901,180052,241149,5649898,8462850,10514754,156585,41745,42.721666666666664,29.434166666666666,137.75583333333333,5201163,5.1196984606988005,11.415308984240687,15.444857366557622,83547.04198293327,11.333177098475838,1.1077056335788693,1.6592063469345704,2.0614977901363796,0.9806539422048491,0,0,12
jhargram,2019,78354.37947823899,56384.74747080001,5656595,168.1649932749941,31.083333333333332,125689,191206,7988,185750,247592,7022842,11700936,13016107,162509,38021,70.01333333333334,53.14833333333333,110.34166666666665,7499062,5.124945600283145,11.269009905009069,15.548332855830205,62339.886130241306,11.040372767693215,1.2415316988400265,2.068547597980764,2.3010498365182586,0.7543070053294665,0,1,12
jhargram,2020,125425.903728219,100571.7815506,6553304,187.322641747532,34.5,145050,216979,9598,193939,256607,10609163,16839940,20166052,189809,35519,65.18083333333333,62.48416666666666,101.00166666666667,6557341,5.232832487074812,11.73947842745707,15.695480060506346,86470.80574161944,11.367573694604703,1.6189029228615062,2.569686985374095,3.0772343233275916,0.9993843541154868,0,2,12
jhargram,2021,140736.168008007,89197.35296620001,6802617,184.53092701808885,32.5,146106,221586,11864,192640,262842,8647143,12960347,18513564,124982,38623,47.833333333333336,62.54750000000001,100.46999999999998,4568248,5.217817075547197,11.85464937316381,15.732818096052851,96324.70124978235,11.475490449507125,1.2711494708580535,1.9052001604676554,2.721535550215454,1.489108516000007,0,3,12
jhargram,2022,17390.5448836,13895.4778736,535999,226.02617253633318,16.666666666666668,29943,37644,10,184833,237966,972589,1668550,2736781,45024,30964,40.056666666666665,61.666666666666664,103.87333333333333,0,5.420650800249984,9.763739440872325,13.19188944005294,58078.83272751561,10.969573769458643,1.8145351017445928,3.1129722256944508,5.105944227507887,,0,4,12
jhargram,2023,2591.7146199999997,0.0,0,,0.0,0,0,0,173353,231017,0,0,0,88,23790,95.38499999999999,0.0,0.0,0,,7.860460721633802,0.0,,,0.0,0.0,0.0,,0,5,12
jhargram,2024,,0.0,0,,0.0,0,0,0,143162,231017,0,0,0,0,23787,0.0,0.0,0.0,0,,,0.0,,,0.0,0.0,0.0,,0,6,12
kalimpong,2018,63619.91065773,38938.07574,3854648,193.89137290029058,50.083333333333336,42085,64504,20253,45088,52534,1397677,7410867,11492586,11709,2144,12.0075,23.293333333333333,113.91416666666667,3435348,5.267298068738365,11.060697479217195,15.164790510250553,151170.03839308542,11.926167179361203,0.3625952356739189,1.9225794417544741,2.9814878038150305,1.1220545924313927,0,0,13
kalimpong,2019,42889.02005130796,20499.4395,3942690,200.82582271813115,41.25,45081,66554,14867,48102,57218,832170,4169332,6482192,18569,2300,47.85583333333333,8.274166666666668,95.27999999999999,3568240,5.302437978743287,10.666394445016248,15.18737404306309,95137.68561324717,11.463090954600187,0.2110665560822687,1.057484103492793,1.644103898607296,1.1049396901553707,0,1,13
kalimpong,2020,102877.55165839283,60633.45325,4893010,202.32307511373585,60.5,52834,74424,30010,54909,63220,2210992,10431554,16331915,19417,2559,22.013333333333332,40.093333333333334,106.91333333333334,4897047,5.309865801503497,11.54130446140183,15.403318418378278,194718.46095013217,12.179315139884183,0.45186745990709193,2.1319298346007876,3.3378053590734535,0.9991756256372463,0,2,13
kalimpong,2021,115950.562745776,57991.501498,4991556,353.61541962056714,55.25,55924,75985,25983,56202,65022,1920538,9484585,15418375,13367,4015,41.31,67.4175,100.08749999999999,2818242,5.868209937336936,11.660927820348576,15.423258443106418,207335.96085003935,12.242100578961436,0.3847573782604062,1.9001259326751017,3.0888915199989744,1.771159467497823,0,3,13
kalimpong,2022,13650.00618,13013.001349999999,578332,202.83193482145475,44.416666666666664,11781,14713,528,55538,56495,425522,1698528,3378772,170,4531,87.86916666666667,93.84333333333335,100.06916666666666,0,5.312377728853803,9.521568510716962,13.267905106325944,115864.58008658008,11.660186005812443,0.7357746069731573,2.9369427941044246,5.842270529730328,,0,4,13
kalimpong,2023,471.101,0.0,0,,0.0,0,0,0,55260,55953,0,0,0,0,4520,0.0,0.0,0.0,0,,6.157192945745296,0.0,,,0.0,0.0,0.0,,0,5,13
kalimpong,2024,829.84893,0.0,0,,0.0,0,0,0,53777,55953,0,0,0,0,4520,0.0,0.0,0.0,0,,6.722447985308637,0.0,,,0.0,0.0,0.0,,0,6,13
maldah,2018,260731.49427773,106415.6656385,11814720,126.60975378628332,54.166666666666664,150234,250057,41516,381827,694563,19184495,6060224,36646227,256656,79922,61.495000000000005,66.3275,116.99083333333334,10590403,4.84110955086779,12.471250234569908,16.28485685427439,173550.25778301182,12.064228268644897,1.6237790654370141,0.512938436120365,3.101743164459251,1.1156062710739147,1,0,14
maldah,2019,273414.0318578785,121747.4198339,16520450,149.2600731053711,33.833333333333336,314139,433159,13782,474574,789092,15965930,5809427,42153886,232083,148198,72.96833333333333,67.62583333333333,124.43333333333334,10313033,5.005690241488537,12.518746182952524,16.62010962592659,87036.00376199023,11.37408863780689,0.9664343283627262,0.35165065116264993,2.5516185091810453,1.6019002363320276,1,1,14
maldah,2020,548810.2662284544,302108.8075215,22943402,181.92512089248376,39.333333333333336,434994,590078,18802,573981,902692,31306361,12427415,92699019,1206038,140780,74.0975,44.221666666666664,102.46083333333333,22948818,5.203595178751185,13.215509884025035,16.948541002168483,126165.0197999178,11.745353936097155,1.364503877846886,0.5416552872150346,4.040334515343453,0.9997639965596485,1,2,14
maldah,2021,468376.8394644325,200332.6893386,16431364,194.42092547161042,32.25,371301,491258,8954,537717,964725,14483033,4847241,54871048,220783,105625,47.98416666666666,42.388333333333335,105.9925,11075197,5.270025527548296,13.057030598451634,16.614702566294717,126144.78266000698,11.745193522357036,0.8814260946321925,0.29499930742207403,3.33940919329643,1.4836182146466559,1,3,14
maldah,2022,49052.728565,43721.476185,2079190,225.39099185204273,23.5,74043,84831,24,518075,731197,1649873,493832,12330244,207539,101151,37.094166666666666,19.595833333333335,104.05916666666667,0,5.417836635643084,10.800671477700801,14.54748943371213,66248.97500776575,11.101190366607126,0.7935171869814688,0.23751172331532952,5.9303113231595,,1,4,14
maldah,2023,4567.02808,80.40004,3760,178.63153526744182,14.916666666666666,236,236,0,479327,722609,1269,1992,30753,1349,73563,4.819999999999999,1.455,141.34,0,5.185325222102478,8.426836898427286,8.232440158470336,1935181.3898305085,14.475712138314325,0.3375,0.5297872340425532,8.178989361702127,,0,5,14
maldah,2024,20848.324520000002,0.0,0,,0.0,0,0,0,334524,722772,0,0,0,0,73561,0.0,0.0,0.0,0,,9.945076829579847,0.0,,,0.0,0.0,0.0,,0,6,14
murshidabad,2018,349397.931556955,176887.3549734,18227916,126.84699060714861,64.08333333333333,211321,400431,99504,614405,1204290,16494815,1942659,56165741,1064760,161768,74.61416666666666,53.63999999999999,119.82666666666667,14631521,4.842981561736663,12.763969618740827,16.718464877921267,165339.90069938859,12.01576468635073,0.9049205076433312,0.10657603425427241,3.081303479783427,1.2457977540407452,1,0,15
murshidabad,2019,252599.926863873,166813.4594689,16011627,193.14242813692883,44.75,282657,357770,10348,689179,1271575,14782875,2324903,30304396,667297,203260,66.31916666666666,18.663333333333334,104.57,16709024,5.2634278863605894,12.439566158186622,16.58882576624915,89366.23783025822,11.40050942677302,0.9232587668948321,0.14520092180513572,1.8926493853497837,0.9582622539772521,1,1,15
murshidabad,2020,378924.857148926,265617.9902435,19075901,172.6922722581887,33.5,420341,559585,13689,748022,1371224,19301113,2805456,46668493,1291603,198801,78.62583333333333,49.04416666666666,100.8675,19080276,5.151511237528362,12.8450958373516,16.763936421041702,90147.01329371297,11.409208190603968,1.0118061002727996,0.14706807295760238,2.446463367575665,0.9997707056229166,1,2,15
murshidabad,2021,287197.810882388,197580.1483372,16217556,171.11710869364717,34.833333333333336,351873,461937,9734,682189,1454385,8479919,1051876,35089511,926255,182283,76.43583333333333,38.07333333333333,99.78083333333332,12235383,5.14234816826422,12.567929975765978,16.601604978784923,81619.73521196227,11.309838616661965,0.5228851375632678,0.06486032790637504,2.1636744155531202,1.3254636981940002,0,3,15
murshidabad,2022,67599.256097,58570.434187,2840122,202.18098329768358,26.583333333333332,91953,103720,29,622338,1240587,2419809,363024,9107666,461021,162691,71.85166666666667,27.471666666666668,101.64333333333333,0,5.309163253190609,11.12136705044104,14.859357919058699,73515.00885996108,11.20525846910281,0.8520088221562313,0.1278198612594811,3.206786891549025,,1,4,15
murshidabad,2023,7932.14975,423.74244,18620,190.81250208248878,28.0,630,633,0,537189,1232671,5183,360,71156,19862,107758,22.52,1.4666666666666668,100.0,0,5.251291281408893,8.978805429967402,9.832045255081763,1259071.388888889,14.04588580850535,0.2783566058002148,0.01933404940923738,3.821482277121375,,1,5,15
murshidabad,2024,79391.04325,0.0,0,,0.0,0,0,0,328032,1232721,0,0,0,0,106885,0.0,0.0,0.0,0,,11.282153431256594,0.0,,,0.0,0.0,0.0,,1,6,15
